title,body,labels,milestone
"[W1-01] Initialize repository layout for Pentis","Create base folders and maintain clean scaffold under src/tests/docs.","week-1,infra,mvp,P0","M1-Foundation"
"[W1-02] Set up Python packaging with Hatch + CLI entrypoint","Ensure editable install works and pentis entrypoint is exposed.","week-1,packaging,mvp,P0","M1-Foundation"
"[W1-03] Add Typer CLI skeleton with core commands","Expose scan/discover/audit/report/ci/list/validate/init commands.","week-1,cli,mvp,P0","M1-Foundation"
"[W1-04] Implement .pentis.yaml config loading","Support config-first execution and flag override precedence.","week-1,config,mvp,P1","M1-Foundation"
"[W1-05] Add lint/type/test tooling","Run ruff/mypy/pytest in local and CI.","week-1,quality,mvp,P0","M1-Foundation"
"[W1-06] Create CI pipeline for PR/push checks","Block merge on lint/type/test failures.","week-1,ci,mvp,P0","M1-Foundation"
"[W1-07] Add docs site and quickstart","Include install/scan/list/init examples.","week-1,docs,mvp,P1","M1-Foundation"
"[W1-08] Add CLI smoke tests","Verify command boot/help/exit behavior.","week-1,testing,mvp,P1","M1-Foundation"
"[W2-01] Build HTTP/OpenAI-compatible target adapter","Adapter can connect and normalize responses.","week-2,adapter,mvp,P0","M2-Discovery"
"[W2-02] Implement discovery engine","Probe tools/permissions/memory/delegation hints.","week-2,core,mvp,P0","M2-Discovery"
"[W2-03] Define normalized capability schema","Schema validate discovery output.","week-2,schema,mvp,P1","M2-Discovery"
"[W2-04] Build NetworkX tool-chain graph","Generate and export graph from discovered capabilities.","week-2,graph,mvp,P0","M2-Discovery"
"[W2-05] Implement dangerous-combo rules","Flag risky tool chains such as read_file+http_request.","week-2,detection,mvp,P0","M2-Discovery"
"[W2-06] Add discover output modes","Support table/json outputs.","week-2,cli,mvp,P1","M2-Discovery"
"[W2-07] Add mock-agent fixtures for discovery","Cover safe/vulnerable/timeout/malformed scenarios.","week-2,testing,mvp,P1","M2-Discovery"
"[W3-01] Implement YAML template schema + validator","Fail fast with actionable validation errors.","week-3,templates,mvp,P0","M3-Scanning-Core"
"[W3-02] Build fixed strategy executor","Deterministic ordering with retries/timeouts.","week-3,engine,mvp,P0","M3-Scanning-Core"
"[W3-03] Implement async attack runner","Parallel execution with configurable limits.","week-3,engine,performance,P0","M3-Scanning-Core"
"[W3-04] Add scan filtering flags","Filter by behaviors/owasp/severity.","week-3,cli,mvp,P1","M3-Scanning-Core"
"[W3-05] Add first 50 attack templates","Ship validated starter template set.","week-3,content,mvp,P0","M3-Scanning-Core"
"[W3-06] Implement finding model","Include evidence and reproducibility fields.","week-3,schema,mvp,P0","M3-Scanning-Core"
"[W3-07] Ship end-to-end scan flow","Run discover+attack and print summary results.","week-3,core,mvp,P0","M3-Scanning-Core"
"[W4-01] Implement refusal detector","Classify textual refusal signals with confidence.","week-4,detector,mvp,P0","M4-Detection-Reporting"
"[W4-02] Implement side-effect detector","Detect tool/network/file side effects independent of wording.","week-4,detector,mvp,P0","M4-Detection-Reporting"
"[W4-03] Implement indicator detector","Match response indicators against template assertions.","week-4,detector,mvp,P1","M4-Detection-Reporting"
"[W4-04] Implement detector priority resolver","Resolve detector outputs into final verdict.","week-4,detector,mvp,P0","M4-Detection-Reporting"
"[W4-05] Build report generator (MD/JSON/SARIF)","Generate exportable reports in 3 formats.","week-4,reporting,mvp,P0","M4-Detection-Reporting"
"[W4-06] Add OWASP rollups in reports","Include category summary and per-finding mapping.","week-4,compliance,mvp,P1","M4-Detection-Reporting"
"[W4-07] Implement CI quality gate","Fail builds on threshold breach.","week-4,ci,mvp,P0","M4-Detection-Reporting"
"[W4-08] Add end-to-end regression suite","Stabilize discover/scan/report/ci pipeline coverage.","week-4,testing,mvp,P0","M4-Detection-Reporting"
